timestamp,frame,event,value
10.937,90,PULANDO,#1
15.903,180,PULANDO,#2
15.905,180,ESCAPE,estagnação=180 frames
22.335,296,PULANDO,#1
26.341,369,ESCAPE,estagnação=180 frames
32.341,473,PULANDO,#1
34.07,503,COLETADO,#1
39.154,592,PULANDO,#1
44.113,682,PULANDO,#2
44.173,683,ESCAPE,estagnação=180 frames
49.076,772,PULANDO,#3
53.335,845,COLETADO,#2
58.504,934,PULANDO,#1
63.671,1024,PULANDO,#2
63.733,1025,ESCAPE,estagnação=180 frames
68.698,1114,PULANDO,#3
74.024,1204,PULANDO,#4
74.591,1214,ESCAPE,estagnação=180 frames
78.41,1281,COLETADO,#3
83.591,1370,PULANDO,#1
85.503,1403,COLETADO,#4
87.176,1431,COLETADO,#5
88.989,1459,COLETADO,#6
90.454,1487,COLETADO,#7
91.78,1515,COLETADO,#8
93.111,1543,COLETADO,#9
94.419,1571,COLETADO,#10
95.728,1599,COLETADO,#11
97.036,1627,COLETADO,#12
98.344,1655,COLETADO,#13
99.686,1683,COLETADO,#14
101.01,1711,COLETADO,#15
102.353,1739,COLETADO,#16
103.655,1767,COLETADO,#17
105.0,1795,COLETADO,#18
106.336,1823,COLETADO,#19
107.698,1851,COLETADO,#20
108.999,1879,COLETADO,#21
110.326,1907,COLETADO,#22
111.664,1935,COLETADO,#23
112.983,1963,COLETADO,#24
114.301,1991,COLETADO,#25
115.61,2019,COLETADO,#26
116.936,2047,COLETADO,#27
118.269,2075,COLETADO,#28
119.603,2103,COLETADO,#29
120.946,2131,COLETADO,#30
122.266,2159,COLETADO,#31
123.578,2187,COLETADO,#32
124.918,2215,COLETADO,#33
126.334,2243,COLETADO,#34
