timestamp,frame,fps,left,center,right,x,magnitude,fw_bias,visual_bias,escape_active,dopamine,items,skip_focus,collected,reward_rate,escape_rate,orient_rate
10.668,12,0.0,0.1061,1.0,0.0287,-0.2639,0.8994,0.0,0.0,0,1.0,41,0,0,0.0,0.0,0.0
10.927,13,0.0,0.0183,0.97,0.1087,0.3257,0.8757,0.0,0.0,0,1.0,11,0,0,0.0,0.0,0.0
11.1,14,0.0,0.0363,0.9669,0.1183,0.2524,0.8785,0.0,0.0,0,1.0,15,0,0,0.0,0.0,0.0
11.249,15,0.0,0.0062,0.6641,0.6426,0.7603,0.9177,0.0,0.0,0,1.0,23,0,0,0.0,0.0,0.0
11.315,16,0.0,0.6404,0.6352,0.1079,-0.5794,0.8922,0.0,0.0,0,1.0,32,0,0,0.0,0.0,0.0
11.399,17,0.0,0.0825,0.8269,0.1705,0.1936,0.7901,0.0045,0.0,0,1.0,17,0,0,0.0002,0.0,0.0001
11.472,18,0.0,0.1106,0.5551,0.6576,0.6036,0.8345,0.0,0.0,0,1.0,30,0,0,0.0,0.0,0.0
11.54,19,0.0,0.1693,0.6965,0.193,0.0424,0.6931,-0.1129,0.0,0,1.0,30,0,0,0.0056,0.0,0.0023
11.605,20,0.0,0.2005,0.8677,0.0649,-0.2843,0.8411,0.0,0.0,0,1.0,37,0,0,0.0,0.0,0.0
11.861,21,0.0,0.2874,0.8564,0.0146,-0.523,0.8803,0.0,0.0,0,1.0,36,0,0,0.0,0.0,0.0
15.322,23,0.0,0.3568,0.8176,0.0,-0.6152,0.8866,0.0,0.0,0,1.0,50,0,0,0.0,0.0,0.0
15.412,24,0.0,0.4932,0.7186,0.0184,-0.6584,0.8798,0.0,0.0,0,1.0,19,0,0,0.0,0.0,0.0
15.487,25,0.0,0.3046,0.9019,0.0381,-0.4598,0.9282,-0.7,0.0,0,1.0,18,0,0,0.035,0.0,0.014
15.551,26,0.0,0.3035,0.7915,0.0389,-0.4742,0.8348,-0.1129,0.0,0,1.0,21,0,0,0.0056,0.0,0.0023
15.621,27,0.0,0.2822,0.8396,0.0277,-0.4815,0.8633,0.0,0.0,0,1.0,30,0,0,0.0,0.0,0.0
15.685,28,0.0,0.2202,0.9543,0.0641,-0.3035,0.9249,0.0,0.0,0,1.0,15,0,0,0.0,0.0,0.0
15.75,29,0.0,0.1625,0.9071,0.1528,-0.0177,0.853,0.0,0.0,0,1.0,16,0,0,0.0,0.0,0.0
15.813,30,0.0,0.0252,0.7783,0.3536,0.5504,0.8518,0.0,0.0,0,1.0,17,0,0,0.0,0.0,0.0
15.889,31,2.2,0.0143,0.6699,0.4741,0.6724,0.8283,-0.7,0.0,0,1.0,17,0,0,0.035,0.0,0.014
15.959,32,2.2,0.0,0.5943,0.552,0.7645,0.8084,-0.1129,0.0,0,1.0,14,0,0,0.0056,0.0,0.0023
16.02,33,2.2,0.0002,0.6191,0.5449,0.7528,0.8252,0.0045,0.0,0,1.0,21,0,0,0.0002,0.0,0.0001
16.081,34,2.2,0.0179,0.7206,0.4533,0.6394,0.8592,0.0045,0.0,0,1.0,22,0,0,0.0002,0.0,0.0001
16.157,35,2.2,0.5862,0.4546,0.1669,-0.4921,0.7102,0.0045,0.0,0,1.0,21,0,0,0.0002,0.0,0.0001
16.224,36,2.2,0.1548,0.7485,0.3006,0.217,0.7971,-0.1129,0.0,0,1.0,19,0,0,0.0056,0.0,0.0023
16.289,37,2.2,0.271,0.5483,0.4328,0.1914,0.7029,-0.1876,0.0,0,1.0,23,0,0,0.0094,0.0,0.0038
16.361,38,2.2,0.2009,0.4391,0.5752,0.4324,0.691,0.0,0.0,0,1.0,18,0,0,0.0,0.0,0.0
16.432,39,2.2,0.6721,0.5384,0.0818,-0.6655,0.8286,0.0045,0.0,0,1.0,19,0,0,0.0002,0.0,0.0001
16.499,40,2.2,0.599,0.4348,0.3229,-0.2787,0.7007,-0.0737,0.0,0,1.0,18,0,0,0.0037,0.0,0.0015
16.568,41,2.2,0.9416,0.5297,0.0413,-0.8298,0.9723,-0.2664,0.0,0,1.0,20,0,0,0.0133,0.0,0.0053
16.63,42,2.2,0.9852,0.5242,0.0,-0.9083,0.992,-0.1876,0.0,0,1.0,22,0,0,0.0094,0.0,0.0038
16.7,43,2.2,0.9304,0.5896,0.0,-0.8742,1.0,-0.1876,0.0,0,1.0,24,0,0,0.0094,0.0,0.0038
16.776,44,2.2,0.9143,0.616,0.0,-0.8619,1.0,-0.1876,0.0,0,1.0,23,0,0,0.0094,0.0,0.0038
16.839,45,2.2,0.9496,0.5907,0.0,-0.8779,1.0,-0.1876,0.0,0,1.0,14,0,0,0.0094,0.0,0.0038
16.903,46,2.2,0.9078,0.6401,0.0097,-0.8367,1.0,-0.1876,0.0,0,1.0,18,0,0,0.0094,0.0,0.0038
16.965,47,2.2,0.9628,0.6067,0.0,-0.8753,1.0,-0.1876,0.0,0,1.0,16,0,0,0.0094,0.0,0.0038
17.037,48,2.2,0.3996,0.9631,0.005,-0.739,1.0,-0.1876,0.0,0,1.0,11,0,0,0.0094,0.0,0.0038
17.095,49,2.2,0.5031,0.8918,0.0,-0.663,1.0,-0.1876,0.0,0,1.0,20,0,0,0.0094,0.0,0.0038
17.171,50,2.2,0.7946,0.5126,0.0,-0.8706,0.8756,-0.7,0.0,0,1.0,15,0,0,0.035,0.0,0.014
17.25,51,2.2,0.4814,0.8485,0.0,-0.6641,0.9824,-0.0961,0.0,0,1.0,15,0,0,0.0048,0.0,0.0019
17.312,52,2.2,0.5808,0.6525,0.0455,-0.6593,0.8733,-0.2441,0.0,0,1.0,12,0,0,0.0122,0.0,0.0049
17.373,53,2.2,0.4584,0.8508,0.0,-0.6541,0.9713,0.0915,0.0,0,1.0,6,0,0,0.0046,0.0,0.0018
17.435,54,2.2,1.0,0.5602,0.0,-0.8984,1.0,-0.1967,0.0,0,1.0,8,0,0,0.0098,0.0,0.0039
17.495,55,2.2,1.0,0.5857,0.0,-0.8897,1.0,-0.1876,0.0,0,1.0,11,0,0,0.0094,0.0,0.0038
17.564,56,2.2,1.0,0.5173,0.0,-0.9136,0.9946,-0.1876,0.0,0,1.0,6,0,0,0.0094,0.0,0.0038
17.641,57,2.2,0.9261,0.5731,0.0,-0.8789,1.0,-0.1876,0.0,0,1.0,12,0,0,0.0094,0.0,0.0038
17.699,58,2.2,1.0,0.4528,0.0,-0.9382,0.9403,-0.1876,0.0,0,1.0,10,0,0,0.0094,0.0,0.0038
17.764,59,2.2,1.0,0.3856,0.0,-0.9662,0.8839,-0.1876,0.0,0,1.0,10,0,0,0.0094,0.0,0.0038
17.832,60,2.2,1.0,0.3641,0.0,-0.9758,0.8659,-0.1876,0.0,0,1.0,8,0,0,0.0094,0.0,0.0038
17.908,61,14.9,1.0,0.3979,0.0,-0.9609,0.8942,-0.1876,0.0,0,1.0,13,0,0,0.0094,0.0,0.0038
17.981,62,14.9,0.9065,0.6132,0.0,-0.8611,1.0,-0.1876,0.0,0,1.0,17,0,0,0.0094,0.0,0.0038
18.042,63,14.9,0.9907,0.4796,0.0279,-0.8801,0.9577,-0.1876,0.0,0,1.0,13,0,0,0.0094,0.0,0.0038
18.101,64,14.9,0.9727,0.5142,0.0173,-0.8809,0.9767,-0.1876,0.0,0,1.0,20,0,0,0.0094,0.0,0.0038
18.165,65,14.9,0.9874,0.5018,0.0189,-0.886,0.9744,-0.1876,0.0,0,1.0,21,0,0,0.0094,0.0,0.0038
18.227,66,14.9,0.9242,0.5735,0.0096,-0.8623,0.9993,-0.1876,0.0,0,1.0,10,0,0,0.0094,0.0,0.0038
18.286,67,14.9,0.9028,0.5953,0.0141,-0.8426,1.0,-0.1876,0.0,0,1.0,10,0,0,0.0094,0.0,0.0038
18.343,68,14.9,0.8878,0.6122,0.0162,-0.8299,1.0,-0.1876,0.0,0,1.0,13,0,0,0.0094,0.0,0.0038
18.405,69,14.9,0.8784,0.6252,0.0125,-0.8297,1.0,-0.1876,0.0,0,1.0,11,0,0,0.0094,0.0,0.0038
18.462,70,14.9,0.899,0.6579,0.0,-0.845,1.0,-0.1876,0.0,0,1.0,12,0,0,0.0094,0.0,0.0038
18.519,71,14.9,0.8835,0.6498,0.0,-0.844,1.0,-0.1876,0.0,0,1.0,14,0,0,0.0094,0.0,0.0038
18.578,72,14.9,0.8754,0.6664,0.0041,-0.8301,1.0,-0.1876,0.0,0,1.0,18,0,0,0.0094,0.0,0.0038
18.647,73,14.9,0.3306,0.9075,0.1816,-0.1928,0.9475,-0.1876,0.0,0,1.0,28,0,0,0.0094,0.0,0.0038
18.708,74,14.9,0.3469,0.8323,0.303,-0.0492,0.8934,-0.2303,0.0,0,1.0,31,0,0,0.0115,0.0,0.0046
18.771,75,14.9,0.2935,0.9119,0.3121,0.0214,0.9408,-0.2303,0.0,0,1.0,19,0,0,0.0115,0.0,0.0046
18.84,76,14.9,0.3033,0.9211,0.3339,0.0338,0.9607,-0.2471,0.0,0,1.0,14,0,0,0.0124,0.0,0.0049
18.903,77,14.9,0.3226,0.9305,0.3351,0.0135,1.0,0.0,0.0,0,1.6,12,0,1,0.0,0.0,0.0
18.962,78,14.9,0.287,0.9249,0.3519,0.0714,1.0,0.0,0.0,0,1.56,15,0,1,0.0,0.0,0.0
19.025,79,14.9,0.4204,0.9701,0.0727,-0.4534,1.0,-0.1612,0.0,0,1.52,16,0,1,0.0081,0.0,0.0032
19.086,80,14.9,0.2558,0.9491,0.3604,0.1172,1.0,-0.7,0.0,0,1.48,14,0,1,0.035,0.0,0.014
19.146,81,14.9,0.4579,0.9406,0.0805,-0.4667,1.0,-0.0737,0.0,0,1.44,13,0,1,0.0037,0.0,0.0015
19.216,82,14.9,0.3587,0.8871,0.296,-0.0686,1.0,-0.0737,0.0,0,1.4,12,0,1,0.0037,0.0,0.0015
19.276,83,14.9,0.5499,0.8512,0.0299,-0.6282,1.0,-0.1967,0.0,0,1.36,5,0,1,0.0098,0.0,0.0039
19.335,84,14.9,0.4125,0.8623,0.0398,-0.5348,1.0,-0.2471,0.0,0,1.32,38,0,1,0.0124,0.0,0.0049
19.397,85,14.9,0.3504,0.6772,0.2318,-0.1524,0.9793,-0.7,0.0,0,1.28,31,0,1,0.035,0.0,0.014
19.461,86,14.9,0.3128,0.4078,0.6426,0.3275,0.871,-0.0835,0.0,0,1.24,28,0,1,0.0042,0.0,0.0017
19.524,87,14.9,0.5761,0.6372,0.003,-0.752,1.0,-0.0835,0.0,0,1.2,27,0,1,0.0042,0.0,0.0017
19.601,88,14.9,0.5462,0.7483,0.2956,-0.2395,1.0,-0.2773,0.0,0,1.16,31,0,1,0.0139,0.0,0.0055
19.667,89,14.9,0.3654,0.486,0.5418,0.1764,0.797,0.0915,0.0,0,1.12,30,0,1,0.0046,0.0,0.0018
19.738,90,14.9,0.8929,0.5533,0.0625,-0.7753,1.0,-0.2491,0.0,0,1.08,30,0,1,0.0125,0.0,0.005
19.814,91,15.7,1.0,0.4812,0.0876,-0.7905,1.0,-0.2099,0.0,0,1.04,29,0,1,0.0105,0.0,0.0042
19.881,92,15.7,0.6237,0.4506,0.0309,-0.7765,0.7278,-0.2209,0.0,0,1.0,4,0,1,0.011,0.0,0.0044
19.944,93,15.7,0.7355,0.8998,0.0026,-0.7334,1.0,-0.1876,0.0,0,1.0,11,0,1,0.0094,0.0,0.0038
20.002,94,15.7,0.0666,1.0,0.1748,0.2347,0.9379,-0.1876,0.0,0,1.0,17,0,1,0.0094,0.0,0.0038
20.059,95,15.7,0.586,0.3117,0.2596,-0.3759,0.59,-0.2122,0.0,0,1.0,19,0,1,0.0106,0.0,0.0042
20.118,96,15.7,0.0135,1.0,0.2522,0.4818,0.9812,-0.2156,0.0,0,1.0,5,0,1,0.0108,0.0,0.0043
20.18,97,15.7,0.7867,0.2796,0.0,-1.0,0.6754,0.0,0.0,0,1.0,2,0,1,0.0,0.0,0.0
20.241,98,15.7,0.8753,0.4537,0.0,-0.9132,0.8713,-0.2122,0.0,0,1.0,3,0,1,0.0106,0.0,0.0042
20.297,99,15.7,0.8677,0.4511,0.0,-0.9127,0.8648,-0.2122,0.0,0,1.0,3,0,1,0.0106,0.0,0.0042
20.358,100,15.7,0.3285,0.15,0.0,-0.9366,0.31,-0.1876,0.0,0,1.0,1,0,1,0.0094,0.0,0.0038
20.437,101,15.7,0.0,0.0,0.0,0.0,0.3,-0.1876,0.0,0,1.0,0,0,1,0.0094,0.0,0.0038
20.51,102,15.7,0.8743,0.3274,0.0,-0.9711,0.7647,0.0,0.0,0,1.0,9,0,1,0.0,0.0,0.0
20.575,103,15.7,0.8947,0.2499,0.0,-1.0,0.7109,-0.1876,0.0,0,1.0,6,0,1,0.0094,0.0,0.0038
20.634,104,15.7,1.0,0.3352,0.0,-0.9891,0.8415,-0.1876,0.0,0,1.0,5,0,1,0.0094,0.0,0.0038
20.695,105,15.7,0.612,0.6343,0.3378,-0.2494,0.8756,-0.1876,0.0,0,1.0,9,0,1,0.0094,0.0,0.0038
20.754,106,15.7,0.711,0.7009,0.0318,-0.7244,0.9869,-0.1876,0.0,0,1.0,9,0,1,0.0094,0.0,0.0038
20.819,107,15.7,1.0,0.4228,0.0,-0.9504,0.9152,-0.2384,0.0,0,1.0,5,0,1,0.0119,0.0,0.0048
20.877,108,15.7,1.0,0.3613,0.0298,-0.925,1.0,-0.1876,0.0,0,1.6,5,0,2,0.0094,0.0,0.0038
20.94,109,15.7,0.7585,0.4221,0.2427,-0.4899,1.0,-0.1876,0.0,0,1.56,10,0,2,0.0094,0.0,0.0038
21.003,110,15.7,0.0969,0.7829,0.4692,0.4686,1.0,-0.1876,0.0,0,1.52,12,0,2,0.0094,0.0,0.0038
21.057,111,15.7,0.1314,0.711,0.4976,0.4391,1.0,-0.2219,0.0,0,1.48,10,0,2,0.0111,0.0,0.0044
21.119,112,15.7,0.0611,0.5922,0.6738,0.6879,1.0,-0.0961,0.0,0,1.44,7,0,2,0.0048,0.0,0.0019
