timestamp,frame,fps,left,center,right,x,magnitude,fw_bias,visual_bias,escape_active,dopamine,items,skip_focus,collected,reward_rate,escape_rate,orient_rate
5.011,1,0.0,0.2396,0.6872,0.3168,0.2498,0.7546,0.0,0.0,0,1.0,11,0,0,0.0,0.0,0.0
5.153,2,0.0,0.2396,0.6872,0.3168,0.2498,0.7546,-0.2303,0.0,0,1.0,11,0,0,0.0115,0.0,0.0046
5.204,3,0.0,0.2396,0.6872,0.3168,0.2498,0.7546,-0.2303,0.0,0,1.0,11,0,0,0.0115,0.0,0.0046
5.251,4,0.0,0.2396,0.6872,0.3168,0.2498,0.7546,-0.2303,0.0,0,1.0,11,0,0,0.0115,0.0,0.0046
5.301,5,0.0,0.2396,0.6872,0.3168,0.2498,0.7546,-0.2303,0.0,0,1.0,11,0,0,0.0115,0.0,0.0046
5.355,6,0.0,0.2396,0.6872,0.3168,0.2498,0.7546,-0.2303,0.0,0,1.0,11,0,0,0.0115,0.0,0.0046
5.4,7,0.0,0.2396,0.6872,0.3168,0.2498,0.7546,-0.2303,0.0,0,1.0,11,0,0,0.0115,0.0,0.0046
5.442,8,0.0,0.2396,0.6872,0.3168,0.2498,0.7546,-0.2303,0.0,0,1.0,11,0,0,0.0115,0.0,0.0046
5.484,9,0.0,0.2396,0.6872,0.3168,0.2498,0.7546,-0.2303,0.0,0,1.0,11,0,0,0.0115,0.0,0.0046
5.533,10,0.0,0.2396,0.6872,0.3168,0.2498,0.7546,-0.2303,0.0,0,1.0,11,0,0,0.0115,0.0,0.0046
5.594,11,0.0,0.4444,0.2103,0.5691,0.2215,0.4953,-0.2303,0.0,0,1.0,10,0,0,0.0115,0.0,0.0046
5.66,12,0.0,0.2396,0.6873,0.318,0.2533,0.7554,-0.1898,0.0,0,1.0,11,0,0,0.0095,0.0,0.0038
5.726,13,0.0,0.6892,0.1938,0.3363,-0.6194,0.5488,-0.2303,0.0,0,1.0,9,0,0,0.0115,0.0,0.0046
5.792,14,0.0,0.3747,0.6717,0.1919,-0.5806,0.7741,-0.2303,0.0,0,1.0,10,0,0,0.0115,0.0,0.0046
5.858,15,0.0,0.6909,0.1921,0.339,-0.6149,0.5483,-0.1833,0.0,0,1.0,9,0,0,0.0092,0.0,0.0037
5.929,16,0.0,0.6943,0.2493,0.2843,-0.7542,0.5983,-0.0961,0.0,0,1.0,10,0,0,0.0048,0.0,0.0019
5.992,17,0.0,0.6722,0.4001,0.1545,-1.0,0.7125,-0.2773,0.0,0,1.0,10,0,0,0.0139,0.0,0.0055
6.059,18,0.0,0.1701,0.5556,0.5388,0.9362,0.7684,-0.2773,0.0,0,1.0,11,0,0,0.0139,0.0,0.0055
6.121,19,0.0,0.2845,0.9149,0.0476,-1.0,0.9279,-0.0659,0.0,0,1.0,11,0,0,0.0033,0.0,0.0013
6.183,20,0.0,0.3213,0.9286,0.0,-1.0,0.96,0.0,0.0,0,1.0,10,0,0,0.0,0.0,0.0
6.247,21,0.0,0.4547,0.7926,0.0,-1.0,0.9204,0.0,0.0,0,1.0,10,0,0,0.0,0.0,0.0
6.299,22,0.0,0.8358,0.3944,0.0,-1.0,0.7993,0.0,0.0,0,1.0,13,0,0,0.0,0.0,0.0
6.364,23,0.0,0.4785,0.7295,0.0446,-1.0,0.8808,-0.1876,0.0,0,1.0,12,0,0,0.0094,0.0,0.0038
6.421,24,0.0,0.7998,0.3974,0.0334,-1.0,0.7817,-0.1129,0.0,0,1.0,15,0,0,0.0056,0.0,0.0023
6.473,25,0.0,0.7797,0.3379,0.103,-1.0,0.7204,-0.1129,0.0,0,1.0,13,0,0,0.0056,0.0,0.0023
6.521,26,0.0,0.6878,0.5662,0.0,-1.0,0.8608,-0.2179,0.0,0,1.0,24,0,0,0.0109,0.0,0.0044
6.579,27,0.0,0.6604,0.5947,0.0,-1.0,0.8694,-0.0737,0.0,0,1.0,25,0,0,0.0037,0.0,0.0015
6.632,28,0.0,0.5238,0.9082,0.0062,-1.0,1.0,-0.0737,0.0,0,1.0,30,0,0,0.0037,0.0,0.0015
6.682,29,0.0,0.5801,0.6781,0.0,-1.0,0.8945,-0.0737,0.0,0,1.0,27,0,0,0.0037,0.0,0.0015
6.743,30,0.0,0.5831,0.6702,0.0,-1.0,0.8895,0.0915,0.0,0,1.0,25,0,0,0.0046,0.0,0.0018
6.805,31,5.0,0.6842,0.4716,0.0662,-1.0,0.7793,0.0915,0.0,0,1.0,22,0,0,0.0046,0.0,0.0018
6.862,32,5.0,0.6707,0.483,0.0663,-1.0,0.7813,0.0915,0.0,0,1.0,21,0,0,0.0046,0.0,0.0018
6.918,33,5.0,0.5344,0.7108,0.0,-1.0,0.8963,-0.0737,0.0,0,1.0,21,0,0,0.0037,0.0,0.0015
6.983,34,5.0,0.5257,0.7194,0.0,-1.0,0.8987,0.0915,0.0,0,1.0,18,0,0,0.0046,0.0,0.0018
7.044,35,5.0,0.6488,0.5362,0.0365,-1.0,0.8138,0.0915,0.0,0,1.0,16,0,0,0.0046,0.0,0.0018
7.103,36,5.0,0.5231,0.7178,0.0,-1.0,0.8959,-0.0737,0.0,0,1.0,17,0,0,0.0037,0.0,0.0015
7.159,37,5.0,0.5101,0.7244,0.0,-1.0,0.8941,-0.0737,0.0,0,1.0,17,0,0,0.0037,0.0,0.0015
7.22,38,5.0,0.2878,0.9458,0.0094,-1.0,0.9557,0.0915,0.0,0,1.0,16,0,0,0.0046,0.0,0.0018
7.275,39,5.0,0.7504,0.4671,0.0,-1.0,0.8126,-0.0835,0.0,0,1.0,17,0,0,0.0042,0.0,0.0017
7.335,40,5.0,0.3887,0.8457,0.0,-1.0,0.9281,-0.2471,0.0,0,1.0,18,0,0,0.0124,0.0,0.0049
7.398,41,5.0,0.7503,0.4755,0.0,-1.0,0.8196,-0.7,0.0,0,1.0,19,0,0,0.035,0.0,0.014
7.447,42,5.0,0.7759,0.4496,0.0,-1.0,0.8122,-0.7,0.0,0,1.0,16,0,0,0.035,0.0,0.014
7.5,43,5.0,0.7646,0.4612,0.0,-1.0,0.8156,-0.2471,0.0,0,1.0,17,0,0,0.0124,0.0,0.0049
7.56,44,5.0,0.7356,0.4922,0.0,-1.0,0.8254,-0.2471,0.0,0,1.0,20,0,0,0.0124,0.0,0.0049
7.619,45,5.0,0.2445,0.5218,0.6271,0.7901,0.7895,-0.2471,0.0,0,1.0,22,0,0,0.0124,0.0,0.0049
7.679,46,5.0,0.5747,0.6693,0.0,-1.0,0.884,-0.2122,0.0,0,1.0,18,0,0,0.0106,0.0,0.0042
7.733,47,5.0,0.5275,0.7043,0.0,-1.0,0.887,-0.158,0.0,0,1.0,15,0,0,0.0079,0.0,0.0032
7.788,48,5.0,0.4838,0.8846,0.0037,-1.0,1.0,0.0915,0.0,0,1.0,16,0,0,0.0046,0.0,0.0018
7.847,49,5.0,0.4855,0.8032,0.0,-1.0,0.9466,0.0915,0.0,0,1.0,17,0,0,0.0046,0.0,0.0018
7.899,50,5.0,0.4167,0.95,0.0055,-1.0,1.0,-0.1129,0.0,0,1.0,14,0,0,0.0056,0.0,0.0023
7.964,51,5.0,0.3558,0.9238,0.0433,-1.0,0.9752,-0.7,0.0,0,1.0,12,0,0,0.035,0.0,0.014
8.032,52,5.0,0.8625,0.6757,0.0,-1.0,1.0,-0.7,0.0,0,1.0,17,0,0,0.035,0.0,0.014
8.1,53,5.0,0.8187,0.6273,0.0168,-1.0,0.9854,-0.1876,0.0,0,1.0,18,0,0,0.0094,0.0,0.0038
8.159,54,5.0,0.7228,0.7431,0.0055,-1.0,1.0,-0.1876,0.0,0,1.0,19,0,0,0.0094,0.0,0.0038
8.219,55,5.0,0.6299,0.7763,0.0636,-1.0,1.0,-0.1876,0.0,0,1.0,17,0,0,0.0094,0.0,0.0038
8.274,56,5.0,0.5566,0.8994,0.0374,-1.0,1.0,-0.0737,0.0,0,1.0,19,0,0,0.0037,0.0,0.0015
8.337,57,5.0,0.5738,0.9473,0.0197,-1.0,1.0,0.0915,0.0,0,1.0,24,0,0,0.0046,0.0,0.0018
8.394,58,5.0,0.6547,0.8764,0.0002,-1.0,1.0,0.0915,0.0,0,1.0,23,0,0,0.0046,0.0,0.0018
8.45,59,5.0,0.6129,0.8438,0.0086,-1.0,1.0,-0.0737,0.0,0,1.0,23,0,0,0.0037,0.0,0.0015
8.51,60,5.0,0.5947,0.8347,0.0372,-1.0,1.0,-0.0737,0.0,0,1.0,29,0,0,0.0037,0.0,0.0015
8.57,61,17.0,0.5521,0.8768,0.0381,-1.0,1.0,-0.1363,0.0,0,1.0,31,0,0,0.0068,0.0,0.0027
8.627,62,17.0,0.3464,0.9412,0.0795,-1.0,0.9846,0.0915,0.0,0,1.0,30,0,0,0.0046,0.0,0.0018
