timestamp,frame,event,value
10.191,96,PULANDO,#1
10.952,109,COLETADO,#1
12.531,137,COLETADO,#2
17.615,226,PULANDO,#1
22.65,317,ESCAPE,estagnação=180 frames
28.254,415,PULANDO,#1
33.527,509,ESCAPE,estagnação=180 frames
34.397,524,COLETADO,#3
35.911,552,COLETADO,#4
37.498,580,COLETADO,#5
39.085,608,COLETADO,#6
41.531,652,COLETADO,#7
43.027,680,COLETADO,#8
46.936,753,COLETADO,#9
53.514,869,PULANDO,#1
53.819,874,COLETADO,#10
56.758,924,COLETADO,#11
58.364,952,COLETADO,#12
60.04,982,COLETADO,#13
64.838,1071,PULANDO,#0
70.154,1162,ESCAPE,estagnação=180 frames
77.552,1308,PULANDO,#1
